normalTime ,criticalTime ,miscTime ,totTime  ,borderSize
         0 ,    0.187544 ,       0 ,0.187544 ,  45.8701
         0 ,    0.148753 ,       0 ,0.148753 ,  40.9706
         0 ,    0.454393 ,       0 ,0.454393 ,  72.5269
         0 ,    0.33899  ,       0 ,0.33899  ,  54.2132
         0 ,    0.100389 ,       0 ,0.100389 ,  31.5563
         0 ,    0.488192 ,       0 ,0.488192 ,  56.2843
         0 ,    0.16218  ,       0 ,0.16218  ,  49.9411
         0 ,    0.192418 ,       0 ,0.192418 ,  74.6274
         0 ,    0.726386 ,       0 ,0.726386 ,  73.1127
         0 ,    3.94769  ,       0 ,3.94769  , 132.912
         0 ,    0.17926  ,       0 ,0.17926  ,  41.8995
         0 ,    0.28292  ,       0 ,0.28292  ,  46.0416
         0 ,    1.36126  ,       0 ,1.36126  ,  96.7401
         0 ,    1.19589  ,       0 ,1.19589  ,  82.6985
         0 ,    1.26869  ,       0 ,1.26869  , 105.184
         0 ,    3.49242  ,       0 ,3.49242  , 127.74
         0 ,    1.07286  ,       0 ,1.07286  ,  74.4264
         0 ,    0.155554 ,       0 ,0.155554 ,  42.0416
         0 ,    1.64763  ,       0 ,1.64763  , 111.841
         0 ,    0.647557 ,       0 ,0.647557 ,  68.2843
         0 ,    2.61832  ,       0 ,2.61832  , 108.669
         0 ,    0.593303 ,       0 ,0.593303 ,  65.7696
         0 ,    0.555334 ,       0 ,0.555334 ,  87.6985
         0 ,    0.167808 ,       0 ,0.167808 ,  58.9706
         0 ,    1.96402  ,       0 ,1.96402  ,  96.0833
         0 ,    0.395947 ,       0 ,0.395947 ,  89.0833
         0 ,    0.348778 ,       0 ,0.348778 ,  74.8701
         0 ,    0.166086 ,       0 ,0.166086 ,  52.8701
         0 ,    2.2907   ,       0 ,2.2907   , 109.054
         0 ,    0.963927 ,       0 ,0.963927 ,  68.5269
         0 ,    0.19892  ,       0 ,0.19892  ,  56.2843
         0 ,    0.181865 ,       0 ,0.181865 ,  52.6274
         0 ,    0.10503  ,       0 ,0.10503  ,  31.4853
         0 ,    0.442465 ,       0 ,0.442465 ,  72.2843
         0 ,    3.06158  ,       0 ,3.06158  , 127.983
         0 ,    0.284209 ,       0 ,0.284209 ,  68.9411
         0 ,    0.166044 ,       0 ,0.166044 ,  53.8701
         0 ,    0.144991 ,       0 ,0.144991 ,  39.3848
         0 ,    0.357484 ,       0 ,0.357484 ,  56.2843
         0 ,    0.875441 ,       0 ,0.875441 ,  82.4264
         0 ,    0.60227  ,       0 ,0.60227  ,  56.4558
         0 ,    0.161812 ,       0 ,0.161812 ,  59.3553
         0 ,    0.5553   ,       0 ,0.5553   ,  64.5269
         0 ,    0.308748 ,       0 ,0.308748 ,  64.5269
         0 ,    0.096751 ,       0 ,0.096751 ,  19.0711
         0 ,    0.863605 ,       0 ,0.863605 ,  94.5269
