normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 72.769553 ,Find Concave Points ,Visibility Graph Init ,A* Search ,Insert Vertical Key Point
         0 ,    0.669885 ,       0 ,0.669885 ,  60.1127  ,                            0.089333 ,           0.000726 ,             0.000527 , 0.578679 ,                 0.00062
         0 ,    0.203584 ,       0 ,0.203584 ,  34.799   ,                            0.05021  ,           0.000517 ,             0.000341 , 0.152158 ,                 0.000358
         0 ,    1.04204  ,       0 ,1.04204  ,  87.0122  ,                            0.094646 ,           0.000881 ,             0.00088  , 0.945189 ,                 0.000448
         0 ,    0.751832 ,       0 ,0.751832 ,  79.7401  ,                            0.081501 ,           0.000717 ,             0.00055  , 0.668661 ,                 0.000403
         0 ,    1.71352  ,       0 ,1.71352  ,  82.0833  ,                            0.096902 ,           0.000922 ,             0.000668 , 1.61422  ,                 0.000811
         0 ,    0.164142 ,       0 ,0.164142 ,  54.2843  ,                            0.059429 ,           0.000664 ,             0.000347 , 0.103427 ,                 0.000275
         0 ,    0.184756 ,       0 ,0.184756 ,  69.2548  ,                            0.050677 ,           0.000828 ,             0.000695 , 0.131819 ,                 0.000737
         0 ,    0.521866 ,       0 ,0.521866 ,  63.6985  ,                            0.063166 ,           0.000627 ,             0.000495 , 0.45713  ,                 0.000448
         0 ,    0.126901 ,       0 ,0.126901 ,  56.6985  ,                            0.049209 ,           0.000422 ,             0.000407 , 0.076666 ,                 0.000197
         0 ,    0.141867 ,       0 ,0.141867 ,  41.4558  ,                            0.037583 ,           0.000428 ,             0.000283 , 0.103269 ,                 0.000304
         0 ,    0.145048 ,       0 ,0.145048 ,  63.8701  ,                            0.074331 ,           0.000406 ,             0.000264 , 0.06982  ,                 0.000227
         0 ,    0.379744 ,       0 ,0.379744 ,  56.0416  ,                            0.058681 ,           0.000525 ,             0.000503 , 0.319676 ,                 0.000359
         0 ,    0.130669 ,       0 ,0.130669 ,  32.9706  ,                            0.048428 ,           0.000353 ,             0.00026  , 0.081348 ,                 0.00028
         0 ,    0.381737 ,       0 ,0.381737 ,  54.2843  ,                            0.061566 ,           0.000877 ,             0.000664 , 0.31816  ,                 0.00047
         0 ,    0.159715 ,       0 ,0.159715 ,  48.2843  ,                            0.059452 ,           0.00047  ,             0.000293 , 0.09917  ,                 0.00033
         0 ,    0.097544 ,       0 ,0.097544 ,  36.7279  ,                            0.047885 ,           0.000369 ,             0.000255 , 0.04881  ,                 0.000225
         0 ,    0.381831 ,       0 ,0.381831 ,  90.0122  ,                            0.098156 ,           0.000766 ,             0.000658 , 0.282029 ,                 0.000222
         0 ,    0.179151 ,       0 ,0.179151 ,  71.8701  ,                            0.074194 ,           0.000548 ,             0.000351 , 0.103613 ,                 0.000445
         0 ,    0.112782 ,       0 ,0.112782 ,  49.5563  ,                            0.054008 ,           0.000356 ,             0.000314 , 0.057865 ,                 0.000239
         0 ,    0.150909 ,       0 ,0.150909 ,  49.0416  ,                            0.06224  ,           0.000478 ,             0.000373 , 0.087601 ,                 0.000217
         0 ,    0.709992 ,       0 ,0.709992 ,  63.0416  ,                            0.077544 ,           0.000659 ,             0.000509 , 0.630721 ,                 0.000559
         0 ,    0.519505 ,       0 ,0.519505 ,  53.6985  ,                            0.058612 ,           0.000774 ,             0.001022 , 0.458591 ,                 0.000506
         0 ,    0.452104 ,       0 ,0.452104 ,  80.4264  ,                            0.088873 ,           0.000785 ,             0.000542 , 0.361542 ,                 0.000362
         0 ,    0.144937 ,       0 ,0.144937 ,  36.9706  ,                            0.064483 ,           0.000427 ,             0.00046  , 0.079227 ,                 0.00034
         0 ,    0.266453 ,       0 ,0.266453 ,  46.2132  ,                            0.058383 ,           0.000489 ,             0.00032  , 0.206887 ,                 0.000374
         0 ,    0.10719  ,       0 ,0.10719  ,  38.4853  ,                            0.051213 ,           0.000309 ,             0.000273 , 0.05508  ,                 0.000315
         0 ,    0.428971 ,       0 ,0.428971 ,  51.6985  ,                            0.065303 ,           0.000581 ,             0.000406 , 0.361824 ,                 0.000857
         0 ,    0.1877   ,       0 ,0.1877   ,  45.5563  ,                            0.075184 ,           0.001059 ,             0.001257 , 0.109299 ,                 0.000901
         0 ,    0.186658 ,       0 ,0.186658 ,  48.0416  ,                            0.069127 ,           0.000639 ,             0.000438 , 0.116153 ,                 0.000301
         0 ,    0.576701 ,       0 ,0.576701 ,  64.9411  ,                            0.100241 ,           0.000791 ,             0.000847 , 0.474383 ,                 0.000439
         0 ,    0.136706 ,       0 ,0.136706 ,  51.3848  ,                            0.056652 ,           0.000449 ,             0.000319 , 0.078983 ,                 0.000303
         0 ,    0.095762 ,       0 ,0.095762 ,  32.1421  ,                            0.040306 ,           0.000389 ,             0.000298 , 0.054535 ,                 0.000234
         0 ,    0.36248  ,       0 ,0.36248  ,  57.9411  ,                            0.059237 ,           0.00054  ,             0.000369 , 0.301799 ,                 0.000535
         0 ,    0.720233 ,       0 ,0.720233 ,  83.4264  ,                            0.081144 ,           0.000734 ,             0.000586 , 0.637314 ,                 0.000455
         0 ,    0.121469 ,       0 ,0.121469 ,  41.3848  ,                            0.047993 ,           0.000475 ,             0.000269 , 0.072442 ,                 0.00029
         0 ,    0.543539 ,       0 ,0.543539 ,  67.1127  ,                            0.067945 ,           0.000542 ,             0.000381 , 0.474013 ,                 0.000658
         0 ,    1.33294  ,       0 ,1.33294  ,  89.3553  ,                            0.097348 ,           0.00083  ,             0.000586 , 1.23296  ,                 0.001223
         0 ,    0.156097 ,       0 ,0.156097 ,  45.4558  ,                            0.062244 ,           0.00077  ,             0.000299 , 0.092562 ,                 0.000222
         0 ,    1.08562  ,       0 ,1.08562  , 125.983   ,                            0.07635  ,           0.000775 ,             0.000507 , 1.00741  ,                 0.000581
         0 ,    0.517554 ,       0 ,0.517554 ,  51.3848  ,                            0.066048 ,           0.000538 ,             0.000334 , 0.450123 ,                 0.000511
         0 ,    0.171259 ,       0 ,0.171259 ,  49.8701  ,                            0.058192 ,           0.00047  ,             0.000297 , 0.111967 ,                 0.000333
         0 ,    0.635404 ,       0 ,0.635404 ,  67.1838  ,                            0.116823 ,           0.000962 ,             0.000822 , 0.516201 ,                 0.000596
         0 ,    0.806392 ,       0 ,0.806392 ,  77.6985  ,                            0.083295 ,           0.000525 ,             0.000417 , 0.720959 ,                 0.001196
         0 ,    1.43008  ,       0 ,1.43008  , 102.326   ,                            0.130414 ,           0.000789 ,             0.000589 , 1.29755  ,                 0.000737
         0 ,    0.319095 ,       0 ,0.319095 ,  73.2548  ,                            0.078434 ,           0.000647 ,             0.000333 , 0.239313 ,                 0.000368
         0 ,    0.407037 ,       0 ,0.407037 ,  77.8701  ,                            0.073076 ,           0.000648 ,             0.000514 , 0.332203 ,                 0.000596
         0 ,    0.155853 ,       0 ,0.155853 ,  44.799   ,                            0.064421 ,           0.000506 ,             0.000331 , 0.09022  ,                 0.000375
         0 ,    0.808251 ,       0 ,0.808251 ,  82.7696  ,                            0.079268 ,           0.000757 ,             0.000447 , 0.727229 ,                 0.00055
         0 ,    0.174359 ,       0 ,0.174359 ,  48.8701  ,                            0.071181 ,           0.000541 ,             0.000415 , 0.101941 ,                 0.000281
         0 ,    0.202973 ,       0 ,0.202973 ,  56.2843  ,                            0.073554 ,           0.000557 ,             0.00034  , 0.128137 ,                 0.000385
         0 ,    0.125527 ,       0 ,0.125527 ,  45.9706  ,                            0.054804 ,           0.000419 ,             0.000305 , 0.069764 ,                 0.000235
         0 ,    0.356104 ,       0 ,0.356104 ,  57.8701  ,                            0.052451 ,           0.000557 ,             0.000481 , 0.302255 ,                 0.00036
         0 ,    0.217323 ,       0 ,0.217323 ,  46.8701  ,                            0.062892 ,           0.00056  ,             0.000496 , 0.153012 ,                 0.000363
         0 ,    0.103506 ,       0 ,0.103506 ,  32.5563  ,                            0.04153  ,           0.000379 ,             0.000344 , 0.06103  ,                 0.000223
         0 ,    0.128974 ,       0 ,0.128974 ,  37.5563  ,                            0.050135 ,           0.000429 ,             0.00045  , 0.077729 ,                 0.000231
         0 ,    0.230128 ,       0 ,0.230128 ,  52.1127  ,                            0.059271 ,           0.00058  ,             0.000342 , 0.169587 ,                 0.000348
         0 ,    0.153823 ,       0 ,0.153823 ,  43.4558  ,                            0.054872 ,           0.0005   ,             0.000291 , 0.097927 ,                 0.000233
         0 ,    0.130357 ,       0 ,0.130357 ,  47.3848  ,                            0.040766 ,           0.000527 ,             0.000305 , 0.088556 ,                 0.000203
         0 ,    0.308023 ,       0 ,0.308023 ,  81.2548  ,                            0.073968 ,           0.000764 ,             0.0005   , 0.232567 ,                 0.000224
         0 ,    2.60369  ,       0 ,2.60369  , 138.953   ,                            0.129355 ,           0.001006 ,             0.000718 , 2.47146  ,                 0.001147
         0 ,    0.113055 ,       0 ,0.113055 ,  41.6274  ,                            0.040214 ,           0.000485 ,             0.000472 , 0.0716   ,                 0.000284
         0 ,    0.099454 ,       0 ,0.099454 ,  16.4853  ,                            0.038407 ,           0.000284 ,             0.000306 , 0.059939 ,                 0.000518
         0 ,    0.314637 ,       0 ,0.314637 ,  52.7279  ,                            0.070421 ,           0.000484 ,             0.000381 , 0.242648 ,                 0.000703
         0 ,    0.275135 ,       0 ,0.275135 ,  58.1838  ,                            0.081484 ,           0.000541 ,             0.000356 , 0.192447 ,                 0.000307
         0 ,    0.493197 ,       0 ,0.493197 ,  75.4264  ,                            0.082856 ,           0.0006   ,             0.000482 , 0.40888  ,                 0.000379
         0 ,    0.954151 ,       0 ,0.954151 ,  78.4975  ,                            0.090703 ,           0.00083  ,             0.000592 , 0.86118  ,                 0.000846
         0 ,    1.162    ,       0 ,1.162    , 137.711   ,                            0.134401 ,           0.001113 ,             0.000641 , 1.02497  ,                 0.00088
         0 ,    0.134375 ,       0 ,0.134375 ,  28.4853  ,                            0.05864  ,           0.000591 ,             0.000427 , 0.074422 ,                 0.000295
         0 ,    0.289243 ,       0 ,0.289243 ,  83.3553  ,                            0.080119 ,           0.000676 ,             0.000518 , 0.207698 ,                 0.000232
         0 ,    0.53168  ,       0 ,0.53168  ,  55.2132  ,                            0.056554 ,           0.000547 ,             0.000303 , 0.472618 ,                 0.001658
         0 ,    0.174208 ,       0 ,0.174208 ,  46.0416  ,                            0.062977 ,           0.000599 ,             0.000499 , 0.10985  ,                 0.000283
         0 ,    0.234096 ,       0 ,0.234096 ,  53.4558  ,                            0.060147 ,           0.000562 ,             0.000604 , 0.172412 ,                 0.000371
         0 ,    0.110033 ,       0 ,0.110033 ,  48.7279  ,                            0.04861  ,           0.000345 ,             0.000277 , 0.060491 ,                 0.00031
         0 ,    0.215156 ,       0 ,0.215156 ,  65.7696  ,                            0.077854 ,           0.000626 ,             0.000425 , 0.135954 ,                 0.000297
         0 ,    0.112653 ,       0 ,0.112653 ,  43.4558  ,                            0.039807 ,           0.000386 ,             0.000267 , 0.071945 ,                 0.000248
         0 ,    1.34647  ,       0 ,1.34647  , 110.912   ,                            0.0864   ,           0.000792 ,             0.000502 , 1.25827  ,                 0.000508
         0 ,    0.126452 ,       0 ,0.126452 ,  44.799   ,                            0.045127 ,           0.000464 ,             0.00027  , 0.080365 ,                 0.000226
         0 ,    0.127321 ,       0 ,0.127321 ,  44.799   ,                            0.058597 ,           0.000505 ,             0.000398 , 0.067589 ,                 0.000232
         0 ,    0.154646 ,       0 ,0.154646 ,  48.8701  ,                            0.055188 ,           0.000458 ,             0.000287 , 0.098403 ,                 0.00031
         0 ,    0.450552 ,       0 ,0.450552 ,  68.2843  ,                            0.081552 ,           0.000719 ,             0.000501 , 0.367165 ,                 0.000615
         0 ,    0.119788 ,       0 ,0.119788 ,  47.8701  ,                            0.053888 ,           0.000618 ,             0.000514 , 0.064373 ,                 0.000395
         0 ,    0.081661 ,       0 ,0.081661 ,  31.7279  ,                            0.045754 ,           0.000275 ,             0.000324 , 0.035086 ,                 0.000222
         0 ,    0.149129 ,       0 ,0.149129 ,  43.9706  ,                            0.058994 ,           0.000421 ,             0.000311 , 0.089095 ,                 0.000308
         0 ,    0.313913 ,       0 ,0.313913 ,  75.4558  ,                            0.076511 ,           0.000528 ,             0.000289 , 0.236254 ,                 0.000331
         0 ,    0.140455 ,       0 ,0.140455 ,  59.8701  ,                            0.056136 ,           0.000354 ,             0.000324 , 0.083193 ,                 0.000448
         0 ,    0.186968 ,       0 ,0.186968 ,  41.1421  ,                            0.04923  ,           0.000449 ,             0.000303 , 0.136633 ,                 0.000353
         0 ,    0.317623 ,       0 ,0.317623 ,  65.6985  ,                            0.062181 ,           0.00058  ,             0.000273 , 0.254202 ,                 0.000387
         0 ,    0.110442 ,       0 ,0.110442 ,  39.3848  ,                            0.048743 ,           0.000366 ,             0.000245 , 0.060866 ,                 0.000222
         0 ,    0.167788 ,       0 ,0.167788 ,  46.8701  ,                            0.057524 ,           0.00037  ,             0.000263 , 0.108764 ,                 0.000867
         0 ,    0.950729 ,       0 ,0.950729 ,  91.2548  ,                            0.084468 ,           0.000786 ,             0.00054  , 0.864249 ,                 0.000686
         0 ,    0.659132 ,       0 ,0.659132 ,  76.9411  ,                            0.065666 ,           0.000711 ,             0.000492 , 0.591953 ,                 0.00031
         0 ,    0.213854 ,       0 ,0.213854 ,  47.6274  ,                            0.073654 ,           0.000699 ,             0.000685 , 0.138107 ,                 0.000709
         0 ,    0.172008 ,       0 ,0.172008 ,  46.0416  ,                            0.057583 ,           0.000493 ,             0.000359 , 0.113183 ,                 0.00039
         0 ,    0.157599 ,       0 ,0.157599 ,  55.3553  ,                            0.078605 ,           0.000511 ,             0.00041  , 0.077816 ,                 0.000257
         0 ,    0.100778 ,       0 ,0.100778 ,  40.9706  ,                            0.043593 ,           0.000381 ,             0.000341 , 0.05608  ,                 0.000383
         0 ,    0.139541 ,       0 ,0.139541 ,  57.2132  ,                            0.06143  ,           0.000498 ,             0.000387 , 0.076909 ,                 0.000317
         0 ,    0.126338 ,       0 ,0.126338 ,  39.7279  ,                            0.065371 ,           0.000329 ,             0.000287 , 0.060155 ,                 0.000196
         0 ,    0.51189  ,       0 ,0.51189  ,  71.3553  ,                            0.103025 ,           0.000623 ,             0.000426 , 0.407168 ,                 0.000648
         0 ,    1.02863  ,       0 ,1.02863  ,  82.4264  ,                            0.09388  ,           0.000925 ,             0.000682 , 0.932618 ,                 0.000527
         0 ,    0.269431 ,       0 ,0.269431 ,  66.0416  ,                            0.068818 ,           0.000483 ,             0.00033  , 0.199433 ,                 0.000367
         0 ,    0.09872  ,       0 ,0.09872  ,  33.9706  ,                            0.044686 ,           0.00034  ,             0.00024  , 0.053227 ,                 0.000227
         0 ,    0.128523 ,       0 ,0.128523 ,  35.5563  ,                            0.049445 ,           0.000492 ,             0.000303 , 0.078024 ,                 0.000259
         0 ,    1.28777  ,       0 ,1.28777  ,  83.669   ,                            0.08771  ,           0.000825 ,             0.000698 , 1.19651  ,                 0.002026
         0 ,    0.51032  ,       0 ,0.51032  ,  88.0538  ,                            0.079971 ,           0.00079  ,             0.000753 , 0.42825  ,                 0.000556
         0 ,    0.160042 ,       0 ,0.160042 ,  40.1421  ,                            0.052291 ,           0.000409 ,             0.000278 , 0.106687 ,                 0.000377
         0 ,    0.152459 ,       0 ,0.152459 ,  41.5563  ,                            0.066041 ,           0.000354 ,             0.000315 , 0.085509 ,                 0.00024
         0 ,    0.152388 ,       0 ,0.152388 ,  40.9706  ,                            0.053836 ,           0.00057  ,             0.000386 , 0.097313 ,                 0.000283
         0 ,    0.227209 ,       0 ,0.227209 ,  63.9706  ,                            0.078914 ,           0.000482 ,             0.000333 , 0.147    ,                 0.00048
         0 ,    0.220274 ,       0 ,0.220274 ,  40.6274  ,                            0.046895 ,           0.000394 ,             0.000293 , 0.172269 ,                 0.000423
         0 ,    0.203533 ,       0 ,0.203533 ,  57.3553  ,                            0.060719 ,           0.000654 ,             0.000559 , 0.14127  ,                 0.000331
         0 ,    0.268332 ,       0 ,0.268332 ,  96.0538  ,                            0.080362 ,           0.000691 ,             0.000489 , 0.186444 ,                 0.000346
         0 ,    0.777316 ,       0 ,0.777316 ,  72.4264  ,                            0.070481 ,           0.000647 ,             0.00049  , 0.705345 ,                 0.000353
         0 ,    1.00034  ,       0 ,1.00034  ,  93.598   ,                            0.090732 ,           0.000678 ,             0.000457 , 0.908091 ,                 0.000386
         0 ,    0.982694 ,       0 ,0.982694 ,  91.2254  ,                            0.075903 ,           0.000704 ,             0.000445 , 0.905155 ,                 0.000487
         0 ,    0.172536 ,       0 ,0.172536 ,  34.3137  ,                            0.052621 ,           0.000648 ,             0.000638 , 0.118103 ,                 0.000526
         0 ,    0.092231 ,       0 ,0.092231 ,  27.7279  ,                            0.036957 ,           0.000412 ,             0.000345 , 0.05427  ,                 0.000247
         0 ,    0.374795 ,       0 ,0.374795 ,  77.6985  ,                            0.074218 ,           0.000582 ,             0.000397 , 0.299259 ,                 0.000339
         0 ,    0.09135  ,       0 ,0.09135  ,  52.7279  ,                            0.045531 ,           0.000402 ,             0.000239 , 0.044965 ,                 0.000213
         0 ,    0.339953 ,       0 ,0.339953 ,  62.8701  ,                            0.075648 ,           0.00052  ,             0.000412 , 0.262932 ,                 0.000441
         0 ,    0.279653 ,       0 ,0.279653 ,  76.9411  ,                            0.07667  ,           0.000641 ,             0.000413 , 0.20161  ,                 0.000319
         0 ,    0.130613 ,       0 ,0.130613 ,  38.799   ,                            0.047226 ,           0.000513 ,             0.000361 , 0.082231 ,                 0.000282
         0 ,    0.464527 ,       0 ,0.464527 ,  74.7696  ,                            0.069742 ,           0.000703 ,             0.000532 , 0.393253 ,                 0.000297
         0 ,    0.505394 ,       0 ,0.505394 ,  72.6985  ,                            0.071059 ,           0.000575 ,             0.000527 , 0.432804 ,                 0.000429
         0 ,    0.625429 ,       0 ,0.625429 ,  69.1127  ,                            0.070526 ,           0.000675 ,             0.000402 , 0.553416 ,                 0.00041
         0 ,    0.447109 ,       0 ,0.447109 ,  79.7696  ,                            0.124511 ,           0.000825 ,             0.001724 , 0.318946 ,                 0.001103
         0 ,    0.188915 ,       0 ,0.188915 ,  51.6985  ,                            0.049519 ,           0.000695 ,             0.000751 , 0.137287 ,                 0.000663
         0 ,    0.940825 ,       0 ,0.940825 ,  82.598   ,                            0.076892 ,           0.000718 ,             0.000554 , 0.8621   ,                 0.000561
         0 ,    0.278801 ,       0 ,0.278801 ,  56.0416  ,                            0.06257  ,           0.000517 ,             0.000313 , 0.214996 ,                 0.000405
         0 ,    0.977614 ,       0 ,0.977614 ,  87.669   ,                            0.083299 ,           0.000738 ,             0.000507 , 0.892542 ,                 0.000528
         0 ,    0.136833 ,       0 ,0.136833 ,  54.3848  ,                            0.06727  ,           0.000441 ,             0.001013 , 0.067561 ,                 0.000548
         0 ,    0.799726 ,       0 ,0.799726 ,  84.4264  ,                            0.08892  ,           0.000759 ,             0.00061  , 0.708984 ,                 0.000453
         0 ,    0.872824 ,       0 ,0.872824 ,  66.7696  ,                            0.067523 ,           0.000629 ,             0.000503 , 0.803717 ,                 0.000452
         0 ,    0.460017 ,       0 ,0.460017 ,  82.1543  ,                            0.063766 ,           0.00052  ,             0.00055  , 0.394784 ,                 0.000397
         0 ,    0.651809 ,       0 ,0.651809 ,  59.0416  ,                            0.053922 ,           0.0005   ,             0.000478 , 0.596307 ,                 0.000602
         0 ,    0.199257 ,       0 ,0.199257 ,  51.799   ,                            0.042609 ,           0.00051  ,             0.000308 , 0.155421 ,                 0.000409
