normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 53.041631 ,Find Concave Points ,Visibility Graph Init ,A* Search
         0 ,    0.152878 ,       0 ,0.152878 ,  40.799   ,                            0.056631 ,           0.000569 ,             0.000574 , 0.095104
         0 ,    0.380627 ,       0 ,0.380627 ,  58.4558  ,                            0.082258 ,           0.000867 ,             0.000654 , 0.296848
         0 ,    1.50772  ,       0 ,1.50772  ,  83.0122  ,                            0.087829 ,           0.000952 ,             0.000697 , 1.41824
         0 ,    0.088605 ,       0 ,0.088605 ,  27.2426  ,                            0.049387 ,           0.000309 ,             0.000297 , 0.038612
         0 ,    0.186806 ,       0 ,0.186806 ,  58.3848  ,                            0.076275 ,           0.000523 ,             0.000351 , 0.109657
         0 ,    0.774645 ,       0 ,0.774645 ,  73.3553  ,                            0.073813 ,           0.000842 ,             0.000512 , 0.699478
         0 ,    0.251916 ,       0 ,0.251916 ,  52.8701  ,                            0.05746  ,           0.000507 ,             0.00025  , 0.193699
         0 ,    0.819671 ,       0 ,0.819671 ,  70.4264  ,                            0.057068 ,           0.000615 ,             0.000445 , 0.761543
         0 ,    0.06569  ,       0 ,0.06569  ,   6.65685 ,                            0.025234 ,           0.000254 ,             0.000257 , 0.039945
         0 ,    0.148324 ,       0 ,0.148324 ,  57.9706  ,                            0.063144 ,           0.000509 ,             0.000325 , 0.084346
         0 ,    1.12815  ,       0 ,1.12815  ,  85.1127  ,                            0.099967 ,           0.000768 ,             0.000686 , 1.02673
         0 ,    0.246371 ,       0 ,0.246371 ,  52.799   ,                            0.076812 ,           0.000663 ,             0.000662 , 0.168234
         0 ,    0.21272  ,       0 ,0.21272  ,  36.0416  ,                            0.057992 ,           0.000546 ,             0.000411 , 0.153771
         0 ,    1.14957  ,       0 ,1.14957  ,  94.5269  ,                            0.094563 ,           0.000882 ,             0.000572 , 1.05355
         0 ,    0.210536 ,       0 ,0.210536 ,  43.3137  ,                            0.051532 ,           0.000489 ,             0.000325 , 0.15819
         0 ,    2.07722  ,       0 ,2.07722  , 102.083   ,                            0.066796 ,           0.000979 ,             0.000752 , 2.00869
         0 ,    0.396711 ,       0 ,0.396711 ,  68.0416  ,                            0.083559 ,           0.000757 ,             0.000524 , 0.311871
         0 ,    3.41236  ,       0 ,3.41236  , 102.983   ,                            0.096348 ,           0.001006 ,             0.000615 , 3.31439
         0 ,    0.156306 ,       0 ,0.156306 ,  34.1421  ,                            0.05984  ,           0.000453 ,             0.000287 , 0.095726
         0 ,    0.107104 ,       0 ,0.107104 ,  38.5563  ,                            0.054488 ,           0.00037  ,             0.000275 , 0.051971
         0 ,    0.111973 ,       0 ,0.111973 ,  38.5563  ,                            0.055618 ,           0.000375 ,             0.000239 , 0.055741
         0 ,    2.84905  ,       0 ,2.84905  ,  77.3553  ,                            0.067225 ,           0.00076  ,             0.000515 , 2.78055
         0 ,    0.253778 ,       0 ,0.253778 ,  56.6985  ,                            0.062746 ,           0.000588 ,             0.000299 , 0.190145
         0 ,    0.300788 ,       0 ,0.300788 ,  88.3848  ,                            0.089708 ,           0.000547 ,             0.000303 , 0.21023
         0 ,    0.167357 ,       0 ,0.167357 ,  43.799   ,                            0.057887 ,           0.000609 ,             0.000305 , 0.108556
         0 ,    0.306845 ,       0 ,0.306845 ,  68.1838  ,                            0.071063 ,           0.000736 ,             0.000603 , 0.234443
         0 ,    0.111405 ,       0 ,0.111405 ,  29.9706  ,                            0.046834 ,           0.000507 ,             0.000359 , 0.063705
         0 ,    0.249657 ,       0 ,0.249657 ,  66.4264  ,                            0.06046  ,           0.000632 ,             0.000359 , 0.188206
         0 ,    1.22502  ,       0 ,1.22502  , 101.669   ,                            0.08677  ,           0.000853 ,             0.000642 , 1.13676
         0 ,    0.41018  ,       0 ,0.41018  ,  67.8701  ,                            0.06568  ,           0.000669 ,             0.000466 , 0.343365
         0 ,    0.195352 ,       0 ,0.195352 ,  51.799   ,                            0.074338 ,           0.000671 ,             0.000337 , 0.120006
         0 ,    0.130678 ,       0 ,0.130678 ,  57.9706  ,                            0.065544 ,           0.000409 ,             0.000249 , 0.064476
         0 ,    0.386001 ,       0 ,0.386001 ,  82.9411  ,                            0.076852 ,           0.000785 ,             0.000553 , 0.307811
         0 ,    0.282143 ,       0 ,0.282143 ,  75.669   ,                            0.093066 ,           0.000706 ,             0.000689 , 0.187682
         0 ,    0.122633 ,       0 ,0.122633 ,  44.5563  ,                            0.046108 ,           0.00049  ,             0.000415 , 0.07562
         0 ,    0.190219 ,       0 ,0.190219 ,  43.9706  ,                            0.057531 ,           0.000465 ,             0.000371 , 0.131852
         0 ,    1.80036  ,       0 ,1.80036  ,  65.0416  ,                            0.086309 ,           0.000692 ,             0.000406 , 1.71296
         0 ,    0.148835 ,       0 ,0.148835 ,  52.6985  ,                            0.062724 ,           0.000546 ,             0.00057  , 0.084995
         0 ,    1.02139  ,       0 ,1.02139  ,  92.4264  ,                            0.074038 ,           0.000953 ,             0.000858 , 0.945545
         0 ,    3.63694  ,       0 ,3.63694  , 128.841   ,                            0.132493 ,           0.001143 ,             0.000859 , 3.50244
         0 ,    0.132061 ,       0 ,0.132061 ,  33.7279  ,                            0.04577  ,           0.00051  ,             0.000323 , 0.085458
