normalTime, criticalTime, miscTime, totTime, minCostFunctional, optRetType
0.00203, 0.184867, 0, 0.186897, 0.0139247, 1
0.001467, 0.177116, 0, 0.178583, 0.0133947, 1
0.005189, 0.182759, 0, 0.187948, 0.0138098, 1
0.002579, 1.95534, 0, 1.95792, 0.0231933, 1
0.001796, 5.20717, 0, 5.20897, inf, -1009
0.005717, 0.732897, 0, 0.738614, 0.0151322, 1
0.003124, 0.105797, 0, 0.108921, 0.0141314, 1
0.002581, 0.112965, 0, 0.115546, 0.0141577, 1
0.004905, 0.263547, 0, 0.268452, 0.014182, 1
0.004802, 3.19191, 0, 3.19671, 0.0237852, 1
0.003424, 6.76855, 0, 6.77197, inf, -1009
0.005239, 0.517083, 0, 0.522322, 0.0146985, 1
0.00226, 0.110555, 0, 0.112815, 0.0142522, 1
0.002045, 2.65318, 0, 2.65523, inf, -1009
0.003585, 1.37714, 0, 1.38073, 0.0160795, 1
0.002313, 0.198388, 0, 0.200701, 0.0137403, 1
0.001537, 0.19468, 0, 0.196217, 0.0137426, 1
0.003293, 0.187006, 0, 0.190299, 0.0139643, 1
0.002709, 0.176778, 0, 0.179487, 0.0138553, 1
0.002223, 4.95853, 0, 4.96075, 0.0955175, 1
